Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
JPMorgan Chase,432.92,541.15,465.51,35910.71
Bank of America,231.52,289.4,248.95,19204.58
Industrial and Commercial Bank of China,194.56,243.2,209.2,16138.75
Agricultural Bank of China,160.68,200.85,172.77,13328.41
HDFC Bank,157.91,197.39,169.8,13098.63
Wells Fargo,155.87,194.84,167.6,12929.42
HSBC Holdings PLC,148.9,186.12,160.11,12351.26
Morgan Stanley,140.83,176.04,151.43,11681.85
China Construction Bank,139.82,174.77,150.34,11598.07
Bank of China,136.81,171.01,147.11,11348.39
